No.,Date,Location,Winner,Score
75,"February 27, 1960","Ann Arbor, MI",Michigan,72–65
76,"January 16, 1961","East Lansing, MI",Michigan State,81–69
77,"February 13, 1961","Ann Arbor, MI",Michigan,78–67
78,"January 20, 1962","Ann Arbor, MI",Michigan State,80–74
79,"February 2, 1963","East Lansing, MI",Michigan,72–71
80,"January 25, 1964","East Lansing, MI",Michigan,91–77
81,"February 1, 1964","Ann Arbor, MI",Michigan,95–79
82,"January 26, 1965","East Lansing, MI",Michigan,103–98
83,"February 13, 1965","Ann Arbor, MI",Michigan,98–83
84,"March 7, 1966","East Lansing, MI",Michigan State,86–77
85,"January 21, 1967","Ann Arbor, MI",Michigan,81–59
86,"January 13, 1968","Ann Arbor, MI",Michigan State,86–81
87,"February 3, 1968","East Lansing, MI",Michigan State,82–77
88,"January 25, 1969","East Lansing, MI",Michigan,75–70
89,"February 8, 1969","Ann Arbor, MI",Michigan State,86–82
90,"January 24, 1970","East Lansing, MI",Michigan,91–88
91,"March 6, 1971","Ann Arbor, MI",Michigan,88–63
92,"January 8, 1972","Ann Arbor, MI",Michigan,83–75
93,"March 4, 1972","East Lansing, MI",Michigan State,96–92
94,"January 13, 1973","East Lansing, MI",Michigan,78–71
95,"February 10, 1973","Ann Arbor, MI",Michigan,97–81
96,"January 19, 1974","Ann Arbor, MI",Michigan,84–82
97,"March 9, 1974","East Lansing, MI",Michigan,103–87
98,"January 11, 1975","East Lansing, MI",Michigan State,86–78
99,"February 8, 1975","Ann Arbor, MI",Michigan,96–84
100,"January 17, 1976","Ann Arbor, MI",Michigan,66–63
101,"February 14, 1976","East Lansing, MI",Michigan,81–64
102,"January 15, 1977","East Lansing, MI",Michigan,83–70
103,"February 26, 1977","Ann Arbor, MI",Michigan,69–65
104,"February 2, 1978","East Lansing, MI",Michigan,65–63
105,"February 11, 1978","Ann Arbor, MI",Michigan State,73–62
106,"January 25, 1979","Ann Arbor, MI",Michigan,49–48
107,"February 17, 1979","East Lansing, MI",Michigan State,80–57
108,"January 24, 1980","Ann Arbor, MI",Michigan State,59–58
109,"February 16, 1980","East Lansing, MI",Michigan State,82–74
110,"February 5, 1981","Ann Arbor, MI",Michigan,79–77
111,"February 14, 1981","East Lansing, MI",Michigan State,70–66
112,"January 21, 1982","Ann Arbor, MI",Michigan State,64–62
113,"February 11, 1982","East Lansing, MI",Michigan State,66–55
114,"February 5, 1983","Ann Arbor, MI",Michigan State,70–65
115,"February 12, 1983","East Lansing, MI",Michigan,74–67
116,"February 2, 1984","East Lansing, MI",Michigan State,72–67
117,"February 11, 1984","Ann Arbor, MI",Michigan,71–61
118,"January 24, 1985","Ann Arbor, MI",Michigan,86–75
119,"February 23, 1985","East Lansing, MI",Michigan,75–73
120,"January 25, 1986","East Lansing, MI",Michigan State,91–79
121,"February 20, 1986","Ann Arbor, MI",Michigan State,74–59
122,"January 15, 1987","Ann Arbor, MI",Michigan,74–70
123,"February 15, 1987","East Lansing, MI",Michigan State,90–81
124,"January 14, 1988","East Lansing, MI",Michigan,90–72
125,"February 22, 1988","Ann Arbor, MI",Michigan,77–67
126,"February 4, 1989","Ann Arbor, MI",Michigan,82–66
127,"February 27, 1989","East Lansing, MI",Michigan,79–52
128,"January 27, 1990","Ann Arbor, MI",Michigan,65–63
129,"March 1, 1990","East Lansing, MI",Michigan State,78–70
130,"January 3, 1991","East Lansing, MI",Michigan State,85–70
131,"March 9, 1991","Ann Arbor, MI",Michigan State,66–59
132,"January 29, 1992","East Lansing, MI",Michigan,89–79
133,"February 15, 1992","Ann Arbor, MI",Michigan State,70–59
134,"January 5, 1994","Ann Arbor, MI",Michigan,75–64
135,"February 5, 1994","East Lansing, MI",Michigan,59–51
136,"January 22, 1995","Ann Arbor, MI",Michigan State,73–71
137,"February 21, 1995","East Lansing, MI",Michigan State,67–64
138,"February 17, 1998","East Lansing, MI",Michigan State,80–75
139,"January 9, 1999","East Lansing, MI",Michigan State,81–67
140,"February 18, 1999","Ann Arbor, MI",Michigan State,73–58
141,"February 1, 2000","Ann Arbor, MI",Michigan State,82–62
142,"March 4, 2000","East Lansing, MI",Michigan State,114–63
143,"January 30, 2001","Ann Arbor, MI",Michigan State,91–64
144,"March 3, 2001","East Lansing, MI",Michigan State,78–57
145,"January 30, 2002","East Lansing, MI",Michigan State,71–44
146,"January 26, 2003","Ann Arbor, MI",Michigan,60–58
147,"January 17, 2004","East Lansing, MI",Michigan State,71–54
148,"February 24, 2004","Ann Arbor, MI",Michigan State,72–69
149,"January 27, 2005","East Lansing, MI",Michigan State,64–53
150,"February 12, 2005","Ann Arbor, MI",Michigan State,64–49
151,"January 25, 2006","Ann Arbor, MI",Michigan,72–67
152,"February 18, 2006","East Lansing, MI",Michigan State,90–71
153,"February 13, 2007","East Lansing, MI",Michigan State,59–44
154,"February 27, 2007","Ann Arbor, MI",Michigan,67–56
155,"January 28, 2008","East Lansing, MI",Michigan State,77–62
156,"February 10, 2009","Ann Arbor, MI",Michigan State,54–42
157,"January 26, 2010","Ann Arbor, MI",Michigan State,57–56
158,"March 7, 2010","East Lansing, MI",Michigan State,64–48
159,"January 27, 2011","East Lansing, MI",Michigan,61–57
160,"March 5, 2011","Ann Arbor, MI",Michigan,70–63
161,"January 17, 2012","Ann Arbor, MI",Michigan,60–59
162,"February 5, 2012","East Lansing, MI",Michigan State,64–54
163,"February 12, 2013","East Lansing, MI",Michigan State,75–52
164,"March 3, 2013","Ann Arbor, MI",Michigan,58–57
165,"January 25, 2014","East Lansing, MI",Michigan,80–75
166,"February 23, 2014","Ann Arbor, MI",Michigan,79–70
167,"March 16, 2014","Indianapolis, IN",Michigan State,69–55
168,"February 1, 2015","East Lansing, MI",Michigan State,76–66
169,"February 17, 2015","Ann Arbor, MI",Michigan State,80–67
170,"February 6, 2016","Ann Arbor, MI",Michigan State,89–73
171,"January 29, 2017","East Lansing, MI",Michigan State,70–62
172,"February 7, 2017","Ann Arbor, MI",Michigan,86–57
173,"January 13, 2018","East Lansing, MI",Michigan,82–72
174,"March 3, 2018","New York, NY",Michigan,75–64
175,"February 24, 2019","Ann Arbor, MI",Michigan State,77–70
176,"March 9, 2019","East Lansing, MI",Michigan State,75–63
177,"March 17, 2019","Chicago, IL",Michigan State,65–60
